fc_Hz,fc_kHz,score_peak_dB,f_local_Hz,f_local_kHz,score_local_dB,ON_dB,OFF_dB,rep_positivas_3dB,rep_positivas_0dB,rep_totales,umbral_repetibilidad_dB
78806.8771362305,78.8068771362305,8.27424091410545,78806.8771362305,78.8068771362305,8.27424091410545,-122.234863773047,-130.509104687152,4,4,4,3
77965.7363891602,77.9657363891602,8.06190351043804,77965.7363891602,77.9657363891602,8.06190351043804,-124.912142094704,-132.974045605142,4,4,4,3
67184.4482421875,67.1844482421875,6.68031696885345,67184.4482421875,67.1844482421875,6.68031696885345,-130.297295888177,-136.97761285703,4,4,4,3
54300.3082275391,54.3003082275391,6.44304916204371,54300.3082275391,54.3003082275391,6.44304916204371,-130.692417238505,-137.135466400548,4,4,4,3
75228.6911010742,75.2286911010742,5.7072021926005,75228.6911010742,75.2286911010742,5.7072021926005,-129.356066691228,-135.063268883829,4,4,4,3
37163.7344360352,37.1637344360352,5.47606110401972,37163.7344360352,37.1637344360352,5.47606110401972,-130.095311868769,-135.571372972788,4,4,4,3
55308.3419799805,55.3083419799805,5.40072072301953,55308.3419799805,55.3083419799805,5.40072072301953,-130.23707064758,-135.637791370599,4,4,4,3
53011.8942260742,53.0118942260742,5.39414192135109,53011.8942260742,53.0118942260742,5.39414192135109,-129.789937478806,-135.184079400157,4,4,4,3
58966.6366577149,58.9666366577149,5.37459050908782,58966.6366577149,58.9666366577149,5.37459050908782,-132.050183248596,-137.424773757684,4,4,4,3
36716.4611816406,36.7164611816406,5.26804173303049,36716.4611816406,36.7164611816406,5.26804173303049,-130.213666364332,-135.481708097362,4,4,4,3
