fc_kHz,score_peak,ON_dB,OFF_dB,rep_0dB,rep_3dB,rep_total,supera_3dB
89.238000003626,21.2753407712642,-123.80671247836,-145.082053249624,4,4,4,Si
55.6180000022599,19.175405483101,-122.738621821019,-141.91402730412,4,3,4,Si
61.8080000025115,18.6781750623136,-123.657800683769,-142.335975746083,4,3,4,Si
49.320000002004,18.5356519924528,-123.584945534367,-142.12059752682,4,4,4,Si
87.2300000035444,17.435725471831,-126.393489066808,-143.829214538639,4,3,4,Si
59.3970000024135,17.3202850398105,-125.287733353312,-142.608018393122,3,3,4,Si
79.3420000032239,17.2472449911606,-123.532118635468,-140.779363626628,4,3,4,Si
45.0590000018309,17.0419296625803,-124.380162663576,-141.422092326156,4,4,4,Si
66.4370000026995,17.0185504198808,-124.738832680255,-141.757383100136,4,4,4,Si
38.4880000015639,16.9666248209186,-123.236715664499,-140.203340485417,4,3,4,Si
