punto,metodo,rol_metodo,modo_evaluacion,led_evaluado,tipo_led,f_ref_kHz,f_evaluada_kHz,delta_kHz,semiancho_busqueda_kHz,score_dB,ON_prom_dB,OFF_prom_dB,rep_0dB,rep_3dB,rep_total,estado_metodo
P1,Periodograma,Principal,Referencia fija,LED 1,Principal en P1,45.642,45.64,-0.00200000000000244,0,4.40913357895915,-134.679545052088,-139.088678631047,2,2,3,Indicio parcial
P1,Periodograma,Principal,Referencia fija,LED 2,Influencia secundaria esperada,40.623,40.625,0.00200000000000244,0,-0.44265953701003,-136.025247260188,-135.582587723178,1,0,3,No confirmado
P1,Welch,Complementario,Busqueda local,LED 1,Principal en P1,45.642,45.3472137451172,-0.294786254882816,1,3.5845608862751,-132.075816194286,-135.660377080562,3,3,3,Confirmado
P1,Welch,Complementario,Busqueda local,LED 2,Influencia secundaria esperada,40.623,40.9126281738281,0.289628173828127,1,2.44815142136799,-133.172836323685,-135.620987745053,3,0,3,Indicio debil
P1,Multitaper,Complementario,Busqueda local,LED 1,Principal en P1,45.642,45.3472137451172,-0.294786254882816,1,4.52526691563711,-132.421987527392,-136.947254443029,3,3,3,Confirmado
P1,Multitaper,Complementario,Busqueda local,LED 2,Influencia secundaria esperada,40.623,39.6251678466797,-0.99783215332031,1,4.50749232484324,-133.257271738843,-137.764764063687,3,2,3,Indicio parcial
P2,Periodograma,Principal,Busqueda local estricta,LED 1,Influencia secundaria esperada,45.642,45.345,-0.297000000000004,0.5,9.80062698401057,-134.209581527411,-144.010208511422,3,3,3,Confirmado
P2,Periodograma,Principal,Busqueda local estricta,LED 2,Principal en P2,40.623,40.725,0.102000000000004,0.5,12.3486828660721,-130.74017695367,-143.088859819742,3,3,3,Confirmado
P2,Periodograma,Principal,Busqueda local estricta,LED 3,Influencia secundaria esperada,57.658,57.465,-0.192999999999998,0.5,11.3694360873065,-134.789697738657,-146.159133825963,3,3,3,Confirmado
P2,Welch,Complementario,Busqueda local,LED 1,Influencia secundaria esperada,45.642,45.0611114501953,-0.580888549804691,0.7,2.154931550417,-134.140060514536,-136.294992064953,3,0,3,Indicio debil
P2,Welch,Complementario,Busqueda local,LED 2,Principal en P2,40.623,40.9126281738281,0.289628173828127,0.7,1.83832426015424,-133.782663484899,-135.620987745053,3,0,3,Indicio debil
P2,Welch,Complementario,Busqueda local,LED 3,Influencia secundaria esperada,57.658,57.0774078369141,-0.580592163085939,0.7,1.53040478773203,-133.691717703353,-135.222122491085,3,0,3,Indicio debil
P2,Multitaper,Complementario,Busqueda local,LED 1,Influencia secundaria esperada,45.642,45.6333160400391,-0.00868395996094051,0.7,3.45067042125875,-133.768884170592,-137.21955459185,3,3,3,Confirmado
P2,Multitaper,Complementario,Busqueda local,LED 2,Principal en P2,40.623,40.0066375732422,-0.61636242675781,0.7,3.40244285694062,-131.795798753967,-135.198241610908,3,3,3,Confirmado
P2,Multitaper,Complementario,Busqueda local,LED 3,Influencia secundaria esperada,57.658,57.9833984375,0.325398437499999,0.7,3.02671166883296,-134.001955543922,-137.028667212755,3,2,3,Indicio parcial
P3,Periodograma,Principal,Busqueda local estricta,LED 2,Influencia secundaria esperada,40.623,40.725,0.102000000000004,0.5,12.6542930650746,-130.434566754667,-143.088859819742,3,3,3,Confirmado
P3,Periodograma,Principal,Busqueda local estricta,LED 3,Principal en P3,57.658,57.84,0.182000000000002,0.5,11.7466582717182,-130.741353858319,-142.488012130037,3,3,3,Confirmado
P3,Welch,Complementario,Busqueda local,LED 2,Influencia secundaria esperada,40.623,40.2450561523438,-0.377943847656248,0.7,1.90219715329965,-132.190117344695,-134.092314497995,3,1,3,Indicio debil
P3,Welch,Complementario,Busqueda local,LED 3,Principal en P3,57.658,57.3635101318359,-0.294489868164064,0.7,1.32884698036406,-134.373236412655,-135.702083393019,3,0,3,Indicio debil
P3,Multitaper,Complementario,Busqueda local,LED 2,Influencia secundaria esperada,40.623,40.2450561523438,-0.377943847656248,0.7,3.01079780580585,-132.961426510244,-135.97222431605,3,2,3,Indicio parcial
P3,Multitaper,Complementario,Busqueda local,LED 3,Principal en P3,57.658,57.1727752685547,-0.485224731445314,0.7,4.02785414328172,-132.132848312165,-136.160702455447,3,3,3,Confirmado
